title,preview
NASA's Perseverance Rover Will Carry First Spacesuit Materials to Mars,"In a Q&A, spacesuit designer Amy Ross explains how five samples, including a piece of helmet visor, will be tested aboard the rover, which is targeting a July 30 launch. "
A Martian Roundtrip: NASA's Perseverance Rover Sample Tubes,"Marvels of engineering, the rover's sample tubes must be tough enough to safely bring Red Planet samples on the long journey back to Earth in immaculate condition. "
NASA Readies Perseverance Mars Rover's Earthly Twin ,"Did you know NASA's next Mars rover has a nearly identical sibling on Earth for testing? Even better, it's about to roll for the first time through a replica Martian landscape."
NASA to Reveal Name of Its Next Mars Rover,"After a months-long contest among students to name NASA's newest Mars rover, the agency will reveal the winning name — and the winning student — this Thursday. "
"NASA Wins 4 Webbys, 4 People's Voice Awards","Winners include the JPL-managed ""Send Your Name to Mars"" campaign, NASA's Global Climate Change website and Solar System Interactive."
"While Stargazing on Mars, NASA's Curiosity Rover Spots Earth and Venus",This new portrait of the Red Planet's neighbors was taken during a time when there's more dust in the air on Mars.
Two Rovers to Roll on Mars Again: Curiosity and Mars 2020,"They look like twins. But under the hood, the rover currently exploring the Red Planet and the one launching there this summer have distinct science tools and roles to play."
The Extraordinary Sample-Gathering System of NASA's Perseverance Mars Rover,Two astronauts collected Moon rocks on Apollo 11. It will take three robotic systems working together to gather up the first Mars rock samples for return to Earth.
NASA's Mars Reconnaissance Orbiter Undergoes Memory Update,Other orbiters will continue relaying data from Mars surface missions for a two-week period.
NASA's Mars 2020 Will Hunt for Microscopic Fossils,A new paper identifies a ring of minerals at the rover's landing site that are ideal for fossilizing microbial life.
"Heat and Dust Help Launch Martian Water Into Space, Scientists Find","Scientists using an instrument aboard NASA’s Mars Atmosphere and Volatile EvolutioN, or MAVEN, spacecraft have discovered that water vapor near the surface of the Red Planet is lofted higher into the atmosphere than anyone expected was possible. "
How NASA's Mars Helicopter Will Reach the Red Planet's Surface,"The small craft will seek to prove that powered, controlled flight is possible on another planet. But just getting it onto the surface of Mars will take a whole lot of ingenuity."
Newfound Martian Aurora Actually the Most Common; Sheds Light on Mars' Changing Climate,"A type of Martian aurora first identified by NASA’s MAVEN spacecraft in 2016 is actually the most common form of aurora occurring on the Red Planet, according to new results from the mission."
Mars Scientists Investigate Ancient Life in Australia,Teams with NASA's Mars 2020 and ESA's ExoMars practiced hunting for fossilized microbial life in the Australian Outback in preparation for their Red Planet missions. 
Mars 2020 Unwrapped and Ready for More Testing,"In time-lapse video, bunny-suited engineers remove the inner layer of protective foil on NASA's Mars 2020 rover after it was relocated for testing."
